"What is the main challenge with 2D array memory access (e.g., a[i][j] = avg(...))?","Accesses are not sequential in memory, making unrolling difficult and reducing performance due to irregular memory patterns."
"Why are non-sequential memory accesses harder for unrolling?","Because iterations require fetching scattered elements from memory, limiting bandwidth and preventing parallel accesses."
"In a loop depending on multiple arrays (e.g., a[i] = b[i] + c[i]), why can memory access be slow?","b[] and c[] may be stored in different memory locations, forcing the memory system to jump back and forth."
"What hardware solutions allow simultaneous reads from b[] and c[]?","Using multiple memory banks or multiported memory so each array can be read independently."
"What software solution allows faster memory access for two arrays like b[] and c[]?","Interleaving the arrays in memory so b[i] and c[i] are adjacent, enabling parallel or sequential reads."
"What challenge do dynamic memory access patterns present?","Addresses depend on runtime values (e.g., rand() or val*i), meaning the access pattern cannot be determined or optimized at compile time."
"What is a core problem with pointer-based data structures in RC?","Pointer-linked data is scattered in memory, making sequential access unlikely and limiting compiler optimization."
"What causes aliasing problems with pointers?","The compiler cannot know whether two pointers reference overlapping memory, restricting safe transformations and optimizations."
"What pointer usage pattern is safe for hardware optimization?","Pointers used strictly as array iterators (e.g., p = b; then *p++ each loop) because this maintains sequential memory access."
"What is the purpose of using extra delay registers when memory can only supply 2 inputs per cycle but the loop needs 3?","To pipeline the loop by sending dummy data initially, then generating a correct output every 2 cycles once the pipeline is full."
"What general problem limits unrolling when dependence exists between iterations?","Inter-iteration dependencies make it impossible to compute multiple iterations in parallel without additional transformations."
"What is a simple fix for inter-iteration dependencies that limit pipelining?","Convert the loop into a systolic array by adding pipeline stages, as long as the loop is fully unrolled and memory bandwidth is sufficient."
"What is the main takeaway of the memory bandwidth examples in this file?","Hardware performance is often dominated by memory bandwidth, not computation."
"In the example a[i] = avg(b[i], b[i+1], ..., b[i+4]), what steps are required for hardware mapping?","Build a DFG, add pipeline stages, map ops to hardware resources, determine maximum unrolling allowed by memory bandwidth, and compare with CPU performance."
"What does 'performance dominated by throughput, not latency' mean in pipelines?","Steady-state outputs per cycle (throughput) matter far more than initial pipeline fill delay for long workloads."
"What is the significance of reused data in sliding window loops?","Consecutive iterations share many input elements, enabling fewer memory reads and potentially large speedups if detected."
"What is the main difficulty in dynamic address expressions like b[rand()%100]?","The compiler cannot predict which elements will be accessed, so it cannot prefetch, unroll, or pipeline effectively."
"What is the problem when using pointer-linked structures such as linked lists?","Even sequential traversal touches memory in non-sequential locations, causing unpredictable access patterns and poor hardware performance."
"Why is multiported memory expensive?","It requires duplicating read/write ports inter
"What is DMA in hardware/software communication?","DMA (Direct Memory Access) allows a hardware peripheral to read/write system memory directly without CPU intervention."
"What is required for DMA to work?","The processor must allocate a dedicated region of memory that the peripheral can access."
"What is the advantage of DMA?","It performs high-bandwidth block transfers without CPU involvement, enabling fast data movement such as PCIe accelerator transfers."
"How does MMIO differ from DMA?","MMIO (Memory-Mapped I/O) uses ordinary CPU load/store instructions to communicate with hardware by reading/writing special memory addresses."
"Why is MMIO \"transparent\" to the processor?","Because hardware registers are exposed as memory addresses, and the CPU simply performs loads/stores without special instructions."
"What does mapping signals to addresses mean in MMIO?","Each hardware signal (e.g., go, n, output, done) corresponds to a fixed offset address that the CPU reads or writes."
"What is a common use case of DMA?","High-bandwidth transfers such as PCIe or PCIe-attached accelerators."
